127.0.0.1 - - [27/Mar/2023:15:56:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/index.html HTTP/1.1" 200 23355
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 194901
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 95609
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13749
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 16493
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/css/main.css HTTP/1.1" 200 51468
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80420
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/vendor/purecounter/purecounter_vanilla.js HTTP/1.1" 200 5417
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 143706
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/vendor/php-email-form/validate.js HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/js/main.js HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/img/vikatkavi%20png.png HTTP/1.1" 200 596835
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/img/clients/client-3.png HTTP/1.1" 200 4707
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/img/clients/client-2.png HTTP/1.1" 200 4582
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/img/clients/client-1.png HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/img/clients/client-4.png HTTP/1.1" 200 9010
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/img/clients/client-5.png HTTP/1.1" 200 5123
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/img/clients/client-6.png HTTP/1.1" 200 3450
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/img/clients/client-7.png HTTP/1.1" 200 5616
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/img/clients/client-8.png HTTP/1.1" 200 4587
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/img/stats-img.svg HTTP/1.1" 200 11400
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/img/testimonials/testimonials-2.jpg HTTP/1.1" 200 57584
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/img/testimonials/testimonials-1.jpg HTTP/1.1" 200 39727
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/img/testimonials/testimonials-3.jpg HTTP/1.1" 200 17247
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/img/testimonials/testimonials-5.jpg HTTP/1.1" 200 22595
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:34 +0530] "GET /Vikatikavi/assets/img/testimonials/testimonials-4.jpg HTTP/1.1" 200 20220
0:0:0:0:0:0:0:1 - - [27/Mar/2023:15:56:36 +0530] "GET /Vikatikavi/assets/img/backgroundimg.png HTTP/1.1" 200 1372498
